Symbol	mouse_inviro_colon_Untr_24hr_1	mouse_inviro_colon_Untr_24hr_2	mouse_inviro_colon_Untr_24hr_3	mouse_inviro_colon_Untr_72hr_1	mouse_inviro_colon_Untr_72hr_2	mouse_inviro_colon_Untr_72hr_3	mouse_inviro_colon_X1000_24hr_1	mouse_inviro_colon_X1000_24hr_2	mouse_inviro_colon_X1000_24hr_3	mouse_inviro_colon_X1000_72hr_1	mouse_inviro_colon_X1000_72hr_2	mouse_inviro_colon_X1000_72hr_3
CCDC68	0	50.7605959676091	60.4966538373334	26.1019247171685	20.6285830632796	36.5792906586012	69.046682662045	30.3876036199722	13.2223972988551	33.5046773415623	63.9071201038793	100.982636646616
CCDC71L	184.633704409239	310.998017548028	260.045317987344	156.611548303011	140.274364830302	213.988850352817	369.134188077856	353.97451784346	196.44704558299	528.257079418632	624.034231602586	438.331225004542
CCDC73	37.2129946871334	32.1722087118649	28.893924220816	25.0578477284817	4.12571661265593	10.9737871975804	16.8190637253699	54.2049145653558	73.6676420936213	24.5700967171457	41.3516659495689	11.0969930380897
CCDC77	16.4595938039244	61.4846655382308	78.5553564753434	68.9090812533247	82.5143322531186	91.448226646503	51.3424050563924	42.7069023848258	51.9451322455022	99.3972094466348	52.6293930267241	88.7759443047173
CCDC8	0	16.4435733416199	1.805870263801	0	0	0.91448226646503	10.6225665633915	0.821286584323572	0	8.93458062441661	5.63886353857758	22.1939860761793
CCDC82	156.723958393889	102.951067877968	108.35221582806	129.465546597156	86.6400488657745	145.40268036794	69.046682662045	86.2350913539751	135.057343838306	148.537402880926	120.295755489655	107.64083246947
CCDC85B	74.4259893742667	32.8871466832397	42.4379511993235	52.2038494343369	77.0133767695773	51.2110069220417	15.9338498450873	12.3192987648536	0	52.4906611684476	58.2682565653017	21.0842867723704
CCDC85C	468.740606155238	576.24000492807	594.131316790528	518.906263377309	532.217443032615	504.794211088697	370.904615838421	310.44632887431	495.839898707066	214.429934985999	278.183934569827	186.429483039906
CCDC86	1031.22933354152	1509.94899554353	1288.48843322201	793.498511401921	999.79865913362	750.78994076779	1510.17487976216	1254.92590084642	1058.73624085833	956.000126812577	1127.77270771552	783.44770848913
CCDC88B	0	2.14481391412433	9.93228645090549	14.6170778416143	12.3771498379678	12.8027517305104	7.08171104226102	5.74900609026501	0	7.81775804636453	0	17.7551888609435
CCDC88C	1778.35176533705	2439.36835833074	2232.05564605803	1950.33581486683	1654.41236167503	1936.87344037293	3498.36525487695	3560.27734304269	4228.33376478388	2132.01430150141	2691.61752908103	1722.25331951152
CCDC9	742.828624716239	306.708389719779	371.106339211105	335.148713368443	739.878512536297	371.279800184802	376.215899120117	257.062700893278	486.395329207884	505.920627857591	763.1261988875	439.440924308351
CCDC90B	2.14690353964231	110.100447591716	146.275491367881	114.848468755541	96.2667209619717	98.7640847782233	182.354059338221	204.50035949657	254.058919528002	236.76638654704	131.57348256681	331.800091838881
CCDC91	377.855022977046	277.395932893413	323.250777220379	348.721714221371	423.573572232675	395.970821379358	160.223712331156	102.660823040447	170.00225098528	161.939273817551	127.814240207759	106.531133165661
CCDC92	112.354618574614	77.9282388798506	78.5553564753434	85.6143130723126	166.403903377122	96.9351202452932	49.5719772958272	120.729127895565	106.723635340759	137.369177100405	218.036056825	130.944517849458
CCDC92B	0	35.7468985687388	18.9616377699105	43.851233524843	37.1314495139034	46.6385955897165	7.96692492254365	15.6044451021479	36.8338210468106	7.81775804636453	22.5554541543103	14.4260909495166
CCDC93	510.247407921656	526.90928490321	463.205722664956	532.479264230237	328.682090141589	487.419048025861	538.210039211838	542.870432237881	498.673269556821	480.233708562393	573.284459755388	477.170700637856
CCDC96	0	4.28962782824866	6.3205459233035	2.08815397737348	6.87619435442655	2.74344679939509	1.77042776056526	18.8895914394422	0	0	0	4.43879721523587
CCDC97	325.613703512417	702.06908789003	650.113294968359	587.815344630634	761.882334470462	608.130707199245	748.005728838821	676.740145482624	610.119189647171	616.486063084746	915.375514429094	563.727246334955
CCDC9B	5.00944159249872	36.4618365401136	47.8555619907265	63.688696309891	70.1371824151508	54.8689359879018	24.7859886479136	18.0683048551186	18.8891389983644	6.70093546831246	1.87962117952586	24.4133846837973
CCHCR1	90.169948664977	81.5029287367245	72.2348105520399	121.112930687662	228.289652566961	139.91578676915	46.9163356549793	50.9197682280615	0	55.8411289026038	62.0274989243534	71.0207554437739
CCK	6102.21549417666	704.213901804155	482.167360434867	400.925563655708	537.718398516156	467.300438163631	1040.12630933209	1020.8592243142	652.619752393491	515.972031060059	1071.38407232974	1181.82975855655
CCL13	0	0	0.902935131900499	2.08815397737348	0	0	7.96692492254365	1.64257316864714	0	691.313175814235	486.821885497198	550.410854689247
CCL20	150.283247774962	27.8825808836163	9.93228645090549	3.13223096606022	2.75047774177062	3.65792906586012	73.4727520634581	50.9197682280615	12.2779403489369	298.191628339904	150.369694362069	207.513769812277
CCL25	2102.53419982304	5891.80382209953	6393.68366898744	3410.99952203957	3901.55267670162	3798.75933489574	18245.1432865052	21277.0715400708	19762.7616770388	9994.44525098803	6900.08935003944	12721.592818866
CCL27	40.0755327399898	77.2133009084758	94.8081888495524	111.716237789481	136.148648217646	132.599928637429	34.5233413310225	33.6727499572665	16.0557681486098	21.2196289829894	26.3146965133621	62.1431610133021
CCL28	239.737561926725	218.056081269307	286.230436812458	518.906263377309	354.81162868841	408.773573109869	130.126440401546	167.542463202009	96.3346088916586	279.205644513019	144.730830823491	315.154602281746
