Symbol	human_si_Untr._24h_1	human_si_Untr._24h_2	human_si_Untr._24h_3	human_si_Untr._72h_1	human_si_Untr._72h_2	human_si_Untr._72h_3	human_si_X1000uM_24h_1	human_si_X1000uM_24h_2	human_si_X1000uM_24h_3	human_si_X1000uM_72h_1	human_si_X1000uM_72h_2	human_si_X1000uM_72h_3
PEX1	7.064739876	6.758317471	6.858633441	6.329409512	6.158620971	6.211118545	6.941716408	6.671868297	6.659545167	6.978369763	6.977592121	7.083845049
PEX10	7.7206178	8.131157346	8.208902649	8.066358109	8.362110683	8.334682863	7.534610979	7.464160972	7.402806688	6.978369763	7.219242564	6.605606373
PEX11A	6.94341567	7.159002279	6.902949714	7.186923416	6.893430988	7.113936284	6.694901977	6.671868297	6.659545167	6.636767051	7.029468349	6.895239269
PEX11B	7.775240772	8.197341534	8.113410122	8.423808221	8.201072599	8.133312395	7.588524667	7.409983009	7.584635634	7.713541889	7.811753653	7.644729253
PEX11G	5.859972537	5.430201746	5.991260815	5.502545825	6.081072219	6.001074576	5.286607293	5.254750996	5.295417877	4.495114043	4.865006106	4.820229161
PEX12	6.438486588	6.535384695	6.589788704	6.61790559	6.426721958	6.61727949	6.969599239	6.821654953	6.971109626	6.944449209	7.062983662	6.951861728
PEX13	7.652147892	7.749750963	7.528591987	7.522823724	7.183013497	7.388310751	7.712208747	7.481762783	7.622864116	7.632418079	7.437421189	7.397407769
PEX14	7.03768887	7.288161683	7.395171832	7.238735023	7.713930464	7.734654185	7.316959923	7.274703112	7.348808717	7.799552236	7.721945423	7.512752292
PEX16	6.777330266	7.150512766	7.332925174	7.531089928	7.962130745	7.525439414	6.432700602	6.555793492	6.674730632	6.261842455	6.638340408	6.605606373
PEX19	9.553031268	9.999964108	9.67355439	10.20244885	9.951644152	10.10806475	9.714579459	9.635083476	9.727850109	9.449308974	9.395219952	9.266467731
PEX2	7.753644598	7.363158121	7.511895023	7.5474774	6.865057454	6.850216011	7.810933514	7.607160717	7.600052125	7.53518169	7.523076703	7.558138391
PEX26	9.345321993	9.237046319	9.531082178	8.986759155	9.306300415	9.124148787	9.530575342	9.648573859	9.167691897	8.760332163	8.807039481	8.927293596
PEX3	6.755035205	6.562131629	6.911640044	6.369296947	6.183373705	6.593897636	6.205151019	6.173494255	6.310638943	6.232324563	6.301971632	6.411616507
PEX5	8.309196027	7.998103285	8.55101667	8.071989475	8.00694995	8.086194686	8.678136865	8.821383238	8.742657483	8.983203804	8.9270272	8.899706597
PEX6	8.271914394	8.291191898	8.367390921	8.226304155	8.61373263	8.534663778	8.636563185	9.091008875	8.594423438	8.365515317	8.270391015	8.523724726
PEX7	6.883521673	6.91904039	6.622531141	6.601663083	6.300006145	6.211118545	5.879986941	5.847976331	5.87854555	5.435239099	5.313469428	5.283326484
PF4	6.379687822	6.84643612	6.556195336	6.601663083	6.745114659	6.593897636	6.694901977	6.83574314	6.659545167	6.10636831	6.519266767	6.324819569
PFAS	7.13435905	7.420369933	8.0344409	6.696211125	6.821335957	6.94395569	7.205496962	7.38208305	7.376069808	6.139138607	5.960577639	6.206914092
PFDN1	9.228056619	9.7141208	9.498031386	10.24763438	9.915431323	9.863864156	10.02103749	10.17729322	10.14577793	10.35399858	10.59269349	10.23356708
PFDN2	5.811802196	5.938657394	6.026877043	6.267043447	6.026326407	6.211118545	5.985679064	6.125285324	5.818407538	6.00207924	6.037364534	6.048063886
PFDN4	5.592325168	5.660500551	5.896888031	5.699665492	5.580676222	5.390172783	6.04458519	5.51426643	5.754594838	5.758335747	5.389264618	5.551896671
PFDN5	8.654120892	8.030281207	8.053644594	8.428193494	7.782030358	7.925769927	8.513299706	8.501949161	8.125322571	8.636990997	8.478522653	8.51919236
PFDN6	6.913802	7.107258096	7.163840274	6.633947385	6.745114659	7.176411343	7.695969215	8.20471378	7.57686342	7.733113397	7.849906916	7.869376082
PFKFB2	9.75752964	9.351742441	9.169254308	8.869382085	8.626041486	8.58057899	8.857647661	8.596721399	8.911001911	7.880627273	7.711604598	8.165645332
PFKFB3	11.80784525	11.20010066	11.19942664	11.96562052	11.78082299	12.2784824	11.39809501	11.73521156	12.04125495	12.94376079	12.71385082	12.85908276
PFKFB4	10.72294389	10.71548298	10.56988582	10.99018085	10.89298379	11.04649558	10.15432463	10.84337588	10.65010841	11.01633399	10.9639445	10.96078066
PFKL	10.94186324	11.16559977	11.16915346	11.62831387	11.88318491	11.73626225	9.883641037	10.37101361	9.938508597	8.49635655	8.099510976	8.611484431
PFKM	8.983420936	8.957031083	9.181456415	9.024809689	8.71705443	8.790385437	9.14901507	9.018569602	9.075357461	8.327650716	8.146101043	8.205773927
PFKP	11.16918719	10.96895781	10.84787508	10.99386807	10.89805191	11.0505656	10.50239577	10.95454384	10.5182283	10.28026641	10.11101118	10.16582672
PFN1	11.82619229	12.61243904	12.38561345	12.85683134	13.06834553	12.88438956	12.09185236	12.05668427	12.15276021	12.92863132	13.13143319	12.66043016
PFN1P2	6.66188153	6.160027668	6.306184001	5.768435405	5.997932665	5.742132367	5.811215584	5.815951513	5.650586365	5.293568379	5.016807323	5.504670408
PFN2	9.154450723	9.477974046	9.416354452	9.88414906	9.730726789	9.546773483	8.124784014	8.266304101	8.275769586	8.507678656	7.802052318	8.069442198
