Symbol	human_colon_Untr._24h_1	human_colon_Untr._24h_2	human_colon_Untr._24h_3	human_colon_Untr._72h_1	human_colon_Untr._72h_2	human_colon_Untr._72h_3	human_colon_X1000uM_24h_1	human_colon_X1000uM_24h_2	human_colon_X1000uM_24h_3	human_colon_X1000uM_72h_1	human_colon_X1000uM_72h_2	human_colon_X1000uM_72h_3
HOXC10	6.086722354	6.176766309	6.293465217	6.83036736	6.897600325	6.66015885	6.253250667	5.980853245	5.54895668	6.35545155	6.454678421	5.763863868
HOXC11	5.021296073	5.199507456	5.135070537	5.708557303	5.7700951	5.694325053	5.193847979	4.090695132	4.842721268	5.164091219	4.090695132	4.660765046
HOXC6	5.65314684	5.817915021	5.871036231	6.27138195	6.119924023	6.138347899	6.410041911	6.08917982	6.006439804	6.541837664	6.563039713	6.766781978
HOXC8	4.685298415	4.884146349	4.965311566	5.277216079	4.755988756	5.335676553	4.880003691	5.347832225	4.70700031	5.164091219	5.121691195	5.391798299
HOXC9	5.184592927	4.957764574	5.095706833	5.433040683	5.426218392	5.655342286	4.447195888	5.279841659	5.054559299	4.858244659	5.20741999	5.569998421
HP1BP3	9.48115667	9.792341341	9.596186319	9.693202191	9.653587574	9.536840639	9.136168299	9.272286621	9.242656934	9.324031229	9.156897311	9.161349587
HPCAL1	9.304779466	9.405993016	9.248378046	9.402191471	9.665107065	9.503071011	7.456832971	6.774697081	7.293916422	6.864301672	6.367232607	6.642339296
HPDL	6.601904418	6.035340474	6.386998472	6.171966835	6.308877605	5.967191854	4.447195888	4.090695132	4.842721268	4.579539608	4.637369276	4.585184197
HPGD	6.408785741	7.070852238	5.564017766	5.157634358	5.350104907	5.904514675	5.7796275	5.942557659	6.505608213	5.542584109	5.550377077	5.569998421
HPRT1	8.285440554	8.533198217	8.51904242	8.314634152	8.358545461	8.323068235	8.262571781	8.543513338	8.507646363	8.393925208	8.36399922	8.228442717
HPS1	9.516298192	9.161444884	9.298581532	9.305389212	9.407344037	9.298899027	9.831450937	9.636669143	9.67353664	9.879988936	10.06052661	9.859854744
HPS3	7.449412509	7.469587778	7.40407412	7.727130492	7.453909898	7.631080856	7.000134249	6.949207818	6.991992539	7.291379092	7.293167879	7.148268654
HPS4	8.149901524	8.195251861	8.357634801	8.368981783	8.23558245	8.366736722	8.078812525	8.319299472	8.28785973	8.288216117	7.989296187	8.120423956
HPS5	6.556158358	6.438780096	6.115693105	6.295095227	6.236558287	6.358724538	6.464367435	6.711243102	6.817525656	6.746995264	6.801223374	6.994064867
HPS6	7.348015062	7.274351485	7.04777906	7.021965307	7.048534127	6.82937532	6.988084797	6.689421291	7.02795639	6.557565161	6.663354185	6.18032503
HPSE	5.82925913	6.108011138	6.083524675	6.184818379	5.7700951	5.694325053	6.1892565	6.368201646	5.865372211	6.691460896	6.675388862	6.766781978
HR	6.939082126	6.220647147	6.644422399	6.644464165	6.53477842	6.566977318	6.144766107	5.206758235	5.907351154	5.850019941	5.550377077	5.593237891
HRAS	6.750889261	7.116217666	6.84245454	6.798385792	6.715233683	6.586132604	8.931791054	8.73221957	8.553921433	8.439889802	8.881671094	8.593880926
HRCT1	4.816421725	5.474374065	5.430501702	5.480178915	5.59564035	5.387645177	4.447195888	4.943101596	4.70700031	4.687997995	4.637369276	4.090695132
HRH1	7.104770265	7.398356363	7.102374076	7.102216905	7.058714099	7.179349267	7.524538057	7.59472117	7.504945953	7.09408957	7.156111702	7.222736873
HRNR	5.256368601	5.087114367	5.011115303	5.219320157	5.078115504	5.28087658	5.081983339	5.347832225	5.260915161	5.055015794	5.026732926	4.585184197
HROB	6.903437708	6.456939527	6.706893519	6.626240046	6.549544745	6.951216546	5.467486163	4.697754708	5.223182633	4.437183045	5.579273902	5.104136419
HS1BP3	7.746304087	7.294153327	7.493760039	7.572879495	7.646944105	7.547727591	7.828436418	7.397383827	7.54853762	7.472517957	7.277719755	7.661297903
HS2ST1	7.736345415	7.594201042	7.572636282	7.595966838	7.606258751	7.816369359	7.012080327	6.912285574	7.088744686	7.618558092	7.3533212	7.529645542
HS3ST1	8.696890884	8.663251386	8.837283248	8.646916189	8.886452874	8.581090789	9.291213524	9.388953301	9.217993328	8.944486274	9.009755867	8.915522735
HS3ST2	6.24302463	6.382769388	6.222328841	6.570052571	6.236558287	6.82937532	4.447195888	4.521522248	4.70700031	4.437183045	4.919321691	4.090695132
HS6ST1	7.12030684	6.886230586	7.031780252	6.987114812	6.99648901	6.780763882	7.023924849	6.930869508	6.95507474	7.186314039	6.975572781	7.261751505
HSBP1	9.304779466	9.185235341	9.201648443	9.081670553	9.107750007	9.135280684	9.609866493	9.677712646	9.514420943	9.947934854	10.18748241	10.03132529
